timepoint,channel,mean_intensity,median_intensity,max_intensity,std_intensity,nonzero_pixels
42,1,1631.977071762085,2171.0,11990,942.3652638915661,4718592
42,2,958.0811525980631,1204.0,16188,572.5806105470476,4718592
43,0,609.5644373893738,728.0,15688,405.4580638825853,4718592
43,1,1632.0454772313435,2171.0,17188,942.4329545943959,4718592
43,2,958.1445617675781,1204.0,16188,572.4822896686901,4718592
44,0,610.4747548103333,728.0,15688,407.4781576173667,4718592
44,1,1632.3730452855427,2172.0,16491,942.5941277630395,4718592
44,2,957.8059275945028,1204.0,16188,572.2504403071074,4718592
45,0,609.8909385999044,728.0,15688,407.4299128403736,4718592
45,1,1632.4596444765727,2172.0,15409,942.6500457908479,4718592
45,2,957.9276501337687,1204.0,9923,572.1308333296091,4718592
46,0,610.0159985224406,728.0,15688,407.341199984724,4718592
46,1,1632.3121147155762,2172.0,17188,942.6031427328525,4718592
46,2,957.7604352633158,1204.0,9206,571.9835941128837,4718592
47,0,610.0372540156046,728.0,15688,406.5441494635511,4718592
47,1,1632.1012733777363,2171.0,6704,942.4098949857498,4718592
47,2,957.766984462738,1204.0,14190,571.8659382201319,4718592
48,0,610.0413812001547,728.0,10424,406.8976616604058,4718592
48,1,1632.0730590820312,2171.0,9235,942.409649589578,4718592
48,2,958.0610443751017,1204.0,8949,572.0638702910493,4718592
49,0,610.9297568003336,729.0,12904,407.78342286403125,4718592
49,1,1631.8012901941936,2171.0,6900,942.2507241763386,4718592
49,2,957.6640702883402,1204.0,12296,571.6739300837208,4718592
50,0,610.5176259676615,728.0,11497,409.1337108182802,4718592
50,1,1631.9789113998413,2171.0,12625,942.3596526557276,4718592
50,2,957.6662352879843,1204.0,10351,571.8212538826593,4718592
51,0,610.0853157043457,728.0,15688,407.3503127641989,4718592
51,1,1632.508219877879,2172.0,12046,942.6601486496311,4718592
51,2,957.8448236783346,1204.0,9897,571.7311276879251,4718592
52,0,610.5343225797018,728.0,15688,409.15307141209377,4718592
52,1,1632.547091960907,2172.0,16577,942.6842921634973,4718592
52,2,957.5924215316772,1204.0,9279,571.5885319335982,4718592
53,0,609.9814074834188,728.0,11865,407.6947399958673,4718592
53,1,1632.9308052062988,2172.0,10125,942.9006126553983,4718592
53,2,957.0288864771525,1204.0,8768,571.1124012618751,4718592
54,0,610.0778632164001,728.0,12745,407.0724099689049,4718592
54,1,1633.3569178581238,2173.0,7084,943.1471179745901,4718592
54,2,957.4504280090332,1204.0,16188,571.4464296501109,4718592
55,0,609.8501377105713,728.0,15688,407.7816455535293,4718592
55,1,1633.1307605107625,2173.0,17188,943.0755628772655,4718592
55,2,957.0687359174093,1204.0,16188,571.2456544019686,4718592
56,0,609.9740907351176,728.0,15688,408.602762559817,4718592
56,1,1632.9897292455037,2172.0,17188,942.9771589004072,4718592
56,2,957.3100872039795,1204.0,16188,571.3280050280104,4718592
57,0,609.7943407694498,728.0,15688,407.884406526269,4718592
57,1,1632.9773664474487,2172.0,17140,942.9561154066679,4718592
57,2,956.8617086410522,1204.0,9728,570.8523706538584,4718592
58,0,610.1090502738953,728.0,15688,407.6348463113817,4718592
58,1,1633.1689229011536,2173.0,13645,943.0612547622782,4718592
58,2,956.8891892433167,1204.0,16188,570.9795580457304,4718592
59,0,609.9526556332906,728.0,15688,408.25049382016005,4718592
59,1,1633.3894254366558,2173.0,13622,943.174499640192,4718592
59,2,956.9536797205607,1204.0,9861,570.8317078387538,4718592
60,0,609.8654936154684,728.0,9978,407.55732444183604,4718592
60,1,1633.6916907628377,2173.0,5793,943.3235291386808,4718592
60,2,957.098539352417,1204.0,8122,571.0631492905723,4718592
61,0,610.0081817309061,728.0,15688,407.15714372906643,4718592
61,1,1633.6202402114868,2173.0,17188,943.3047923369191,4718592
61,2,957.357028802236,1204.0,15176,571.2779152869672,4718592
62,0,609.6968185106913,728.0,15688,408.27420674082407,4718592
62,1,1633.9594864845276,2174.0,17188,943.5424712101407,4718592
62,2,957.7622831662496,1204.0,16188,571.7984066625426,4718592
63,0,609.6558895111084,727.0,15688,408.4040052468048,4718592
63,1,1633.4984935124714,2173.0,12716,943.225299642874,4718592
63,2,957.7721028327942,1204.0,12657,571.6826583309888,4718592
64,0,609.4173520406088,727.0,15688,408.14245974965496,4718592
64,1,1633.7672254244487,2173.0,17188,943.3945383866543,4718592
64,2,957.5889800389608,1204.0,12447,571.5306346210418,4718592
65,0,609.2404397328695,727.0,15688,407.94913885676766,4718592
65,1,1633.3514749209087,2173.0,11570,943.1392486775391,4718592
65,2,957.4285553296407,1204.0,8374,571.3553145692755,4718592
66,0,609.6587618192037,727.0,15688,409.26488827354086,4718592
66,1,1633.3963136672974,2173.0,11172,943.1717564386114,4718592
66,2,957.5892445246378,1204.0,10429,571.4926654299911,4718592
67,0,609.5014524459839,728.0,15688,408.12624168318644,4718592
